property,version,outcome
only-owner-or-player-receive,v15,N!
only-owner-or-player-receive,v16,N!
only-owner-or-player-receive,v2,N!
only-owner-or-player-receive,v3,N!
only-owner-or-player-receive,v4,N!
only-owner-or-player-receive,v5,N!
only-owner-or-player-receive,v6,N
only-owner-or-player-receive,v7,N!
only-owner-or-player-receive,v8,N!
only-owner-or-player-receive,v9,N!
owner-cannot-receive-before-deadline,v1,P!
owner-cannot-receive-before-deadline,v10,P!
owner-cannot-receive-before-deadline,v11,P!
owner-cannot-receive-before-deadline,v12,P!
owner-cannot-receive-before-deadline,v13,P!
owner-cannot-receive-before-deadline,v14,N!
owner-cannot-receive-before-deadline,v15,P!
owner-cannot-receive-before-deadline,v16,N
owner-cannot-receive-before-deadline,v2,P!
owner-cannot-receive-before-deadline,v3,P!
owner-cannot-receive-before-deadline,v4,P!
owner-cannot-receive-before-deadline,v5,P!
owner-cannot-receive-before-deadline,v6,P!
owner-cannot-receive-before-deadline,v7,P!
owner-cannot-receive-before-deadline,v8,P!
owner-cannot-receive-before-deadline,v9,P!
owner-cannot-receive-before-deadline-not-player,v1,P!
owner-cannot-receive-before-deadline-not-player,v10,P!
owner-cannot-receive-before-deadline-not-player,v11,P!
owner-cannot-receive-before-deadline-not-player,v12,P!
owner-cannot-receive-before-deadline-not-player,v13,P!
owner-cannot-receive-before-deadline-not-player,v14,P!
owner-cannot-receive-before-deadline-not-player,v15,P!
owner-cannot-receive-before-deadline-not-player,v16,N
owner-cannot-receive-before-deadline-not-player,v2,P!
owner-cannot-receive-before-deadline-not-player,v3,P!
owner-cannot-receive-before-deadline-not-player,v4,P!
owner-cannot-receive-before-deadline-not-player,v5,P!
owner-cannot-receive-before-deadline-not-player,v6,P!
owner-cannot-receive-before-deadline-not-player,v7,P!
owner-cannot-receive-before-deadline-not-player,v8,P!
owner-cannot-receive-before-deadline-not-player,v9,P!
owner-cannot-withdraw-before-deadline,v1,P!
owner-cannot-withdraw-before-deadline,v10,N
owner-cannot-withdraw-before-deadline,v11,N
owner-cannot-withdraw-before-deadline,v12,P!
owner-cannot-withdraw-before-deadline,v13,P!
owner-cannot-withdraw-before-deadline,v14,N!
owner-cannot-withdraw-before-deadline,v15,P!
owner-cannot-withdraw-before-deadline,v16,N
owner-cannot-withdraw-before-deadline,v2,P!
owner-cannot-withdraw-before-deadline,v3,P!
owner-cannot-withdraw-before-deadline,v4,N
owner-cannot-withdraw-before-deadline,v5,N
owner-cannot-withdraw-before-deadline,v6,P!
owner-cannot-withdraw-before-deadline,v7,N
owner-cannot-withdraw-before-deadline,v8,P!
owner-cannot-withdraw-before-deadline,v9,P!
owner-cannot-withdraw-before-deadline-not-player,v1,P!
owner-cannot-withdraw-before-deadline-not-player,v10,P!
owner-cannot-withdraw-before-deadline-not-player,v11,P!
owner-cannot-withdraw-before-deadline-not-player,v12,P!
owner-cannot-withdraw-before-deadline-not-player,v13,P!
owner-cannot-withdraw-before-deadline-not-player,v14,P!
owner-cannot-withdraw-before-deadline-not-player,v15,P!
owner-cannot-withdraw-before-deadline-not-player,v16,N
owner-cannot-withdraw-before-deadline-not-player,v2,P!
owner-cannot-withdraw-before-deadline-not-player,v3,P!
owner-cannot-withdraw-before-deadline-not-player,v4,P!
owner-cannot-withdraw-before-deadline-not-player,v5,P!
owner-cannot-withdraw-before-deadline-not-player,v6,P!
owner-cannot-withdraw-before-deadline-not-player,v7,P!
owner-cannot-withdraw-before-deadline-not-player,v8,P!
owner-cannot-withdraw-before-deadline-not-player,v9,P!
player-cannot-withdraw-after-deadline,v1,P!
player-cannot-withdraw-after-deadline,v10,P!
player-cannot-withdraw-after-deadline,v11,P!
player-cannot-withdraw-after-deadline,v12,P!
player-cannot-withdraw-after-deadline,v13,P!
player-cannot-withdraw-after-deadline,v14,N!
player-cannot-withdraw-after-deadline,v15,P!
player-cannot-withdraw-after-deadline,v16,P!
player-cannot-withdraw-after-deadline,v2,P!
player-cannot-withdraw-after-deadline,v3,P!
player-cannot-withdraw-after-deadline,v4,P!
player-cannot-withdraw-after-deadline,v5,P!
player-cannot-withdraw-after-deadline,v6,P!
player-cannot-withdraw-after-deadline,v7,P!
player-cannot-withdraw-after-deadline,v8,P!
player-cannot-withdraw-after-deadline,v9,P!
player-cannot-withdraw-after-deadline-not-owner,v1,P!
player-cannot-withdraw-after-deadline-not-owner,v10,P!
player-cannot-withdraw-after-deadline-not-owner,v11,P!
player-cannot-withdraw-after-deadline-not-owner,v12,P!
player-cannot-withdraw-after-deadline-not-owner,v13,P!
player-cannot-withdraw-after-deadline-not-owner,v14,P!
player-cannot-withdraw-after-deadline-not-owner,v15,P!
player-cannot-withdraw-after-deadline-not-owner,v16,P!
player-cannot-withdraw-after-deadline-not-owner,v2,P!
player-cannot-withdraw-after-deadline-not-owner,v3,P!
player-cannot-withdraw-after-deadline-not-owner,v4,P!
player-cannot-withdraw-after-deadline-not-owner,v5,P!
player-cannot-withdraw-after-deadline-not-owner,v6,P!
player-cannot-withdraw-after-deadline-not-owner,v7,P!
player-cannot-withdraw-after-deadline-not-owner,v8,P!
player-cannot-withdraw-after-deadline-not-owner,v9,P!
player-immutable,v1,P!
player-immutable,v10,P!
player-immutable,v11,P!
player-immutable,v12,UNK
player-immutable,v13,P!
player-immutable,v14,P!
player-immutable,v15,N!
player-immutable,v16,N!
player-immutable,v2,N!
player-immutable,v3,P!
player-immutable,v4,P!
player-immutable,v5,UNK
player-immutable,v6,P!
player-immutable,v7,P!
player-immutable,v8,P!
player-immutable,v9,P!
timeout-balance,v1,N!
timeout-balance,v10,N!
timeout-balance,v11,N!
timeout-balance,v12,N!
timeout-balance,v13,N!
timeout-balance,v14,P!
timeout-balance,v15,N!
timeout-balance,v16,N!
timeout-balance,v2,N!
timeout-balance,v3,N!
timeout-balance,v4,N!
timeout-balance,v5,N!
timeout-balance,v6,N!
timeout-balance,v7,N!
timeout-balance,v8,N!
timeout-balance,v9,N!
timeout-postcondition,v1,N!
timeout-revert,v1,P!
timeout-revert,v10,P!
timeout-revert,v11,P!
timeout-revert,v12,P!
timeout-revert,v13,P!
timeout-revert,v14,P!
timeout-revert,v15,P!
timeout-revert,v16,P!
timeout-revert,v2,P!
timeout-revert,v3,N!
timeout-revert,v4,P!
timeout-revert,v5,P!
timeout-revert,v6,P!
timeout-revert,v7,P!
timeout-revert,v8,P!
timeout-revert,v9,P!
win-balance,v1,N!
win-balance,v10,N!
win-balance,v11,N!
win-balance,v12,N!
win-balance,v13,N!
win-balance,v14,N!
win-balance,v15,N!
win-balance,v16,N!
win-balance,v2,N!
win-balance,v3,N!
win-balance,v4,N!
win-balance,v5,N!
win-balance,v6,N!
win-balance,v7,N!
win-balance,v8,N!
win-balance,v9,N!
win-pot,v1,N!
win-pot,v10,N!
win-pot,v11,N!
win-pot,v12,N!
win-pot,v13,N!
win-pot,v14,N!
win-pot,v15,N!
win-pot,v16,N!
win-pot,v2,N!
win-pot,v3,N!
win-pot,v4,N!
win-pot,v5,N!
win-pot,v6,N!
win-pot,v7,N!
win-pot,v8,N!
win-pot,v9,N!
win-revert,v1,P!
